No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
20,5/12～5/30_東生涯学習センター,TRUE,2021-06-03,13:20,14:40,14:10,14:20,10,4,2,0,0,0,5/12～5/30_東生涯学習センター/2021-06-03,2021-06-03T13:20:00.000+9,2021-06-03T14:40:00.000+9,2021-06-03T14:10:00.000+9,2021-06-03T14:20:00.000+9
21,5/12～5/30_東生涯学習センター,TRUE,2021-06-09,13:20,14:40,14:10,14:20,10,4,2,0,0,0,5/12～5/30_東生涯学習センター/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T14:40:00.000+9,2021-06-09T14:10:00.000+9,2021-06-09T14:20:00.000+9
22,5/12～5/30_東生涯学習センター,TRUE,2021-06-10,13:20,14:40,14:10,14:20,10,4,2,0,0,0,5/12～5/30_東生涯学習センター/2021-06-10,2021-06-10T13:20:00.000+9,2021-06-10T14:40:00.000+9,2021-06-10T14:10:00.000+9,2021-06-10T14:20:00.000+9
23,5/12～5/30_東生涯学習センター,TRUE,2021-06-16,13:20,14:40,14:10,14:20,10,4,2,0,0,0,5/12～5/30_東生涯学習センター/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T14:40:00.000+9,2021-06-16T14:10:00.000+9,2021-06-16T14:20:00.000+9
24,5/12～5/30_東生涯学習センター,TRUE,2021-06-17,13:20,14:40,14:10,14:20,10,4,2,0,0,0,5/12～5/30_東生涯学習センター/2021-06-17,2021-06-17T13:20:00.000+9,2021-06-17T14:40:00.000+9,2021-06-17T14:10:00.000+9,2021-06-17T14:20:00.000+9
25,5/12～5/30_東生涯学習センター,TRUE,2021-05-15,13:20,16:40,,,10,6,3,120,2,2,5/12～5/30_東生涯学習センター/2021-05-15,2021-05-15T13:20:00.000+9,2021-05-15T16:40:00.000+9,2021-05-15T00:00:00.000+9,2021-05-15T00:00:00.000+9
26,5/12～5/30_東生涯学習センター,TRUE,2021-05-22,13:20,16:40,,,10,6,3,120,2,2,5/12～5/30_東生涯学習センター/2021-05-22,2021-05-22T13:20:00.000+9,2021-05-22T16:40:00.000+9,2021-05-22T00:00:00.000+9,2021-05-22T00:00:00.000+9
27,5/12～5/30_東生涯学習センター,TRUE,2021-05-29,13:20,16:40,,,10,6,3,120,2,2,5/12～5/30_東生涯学習センター/2021-05-29,2021-05-29T13:20:00.000+9,2021-05-29T16:40:00.000+9,2021-05-29T00:00:00.000+9,2021-05-29T00:00:00.000+9
28,5/12～5/30_東生涯学習センター,TRUE,2021-06-05,13:20,16:40,,,10,6,3,0,0,0,5/12～5/30_東生涯学習センター/2021-06-05,2021-06-05T13:20:00.000+9,2021-06-05T16:40:00.000+9,2021-06-05T00:00:00.000+9,2021-06-05T00:00:00.000+9
29,5/12～5/30_東生涯学習センター,TRUE,2021-06-12,13:20,16:40,,,10,6,3,0,0,0,5/12～5/30_東生涯学習センター/2021-06-12,2021-06-12T13:20:00.000+9,2021-06-12T16:40:00.000+9,2021-06-12T00:00:00.000+9,2021-06-12T00:00:00.000+9
