周,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
4,49,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-07-17,13:20,16:40,,,10,3,1,120,3,3,7/14～8/01_西南生涯学習センター(60歳)/2021-07-17,2021-07-17T13:20:00.000+9,2021-07-17T16:40:00.000+9,2021-07-17T00:00:00.000+9,2021-07-17T00:00:00.000+9
4,50,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-07-24,13:20,16:40,,,10,6,1,120,3,3,7/14～8/01_西南生涯学習センター(60歳)/2021-07-24,2021-07-24T13:20:00.000+9,2021-07-24T16:40:00.000+9,2021-07-24T00:00:00.000+9,2021-07-24T00:00:00.000+9
4,51,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-07-31,13:20,16:40,,,10,3,1,120,3,3,7/14～8/01_西南生涯学習センター(60歳)/2021-07-31,2021-07-31T13:20:00.000+9,2021-07-31T16:40:00.000+9,2021-07-31T00:00:00.000+9,2021-07-31T00:00:00.000+9
4,52,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-08-07,13:20,16:40,,,10,3,1,0,0,0,7/14～8/01_西南生涯学習センター(60歳)/2021-08-07,2021-08-07T13:20:00.000+9,2021-08-07T16:40:00.000+9,2021-08-07T00:00:00.000+9,2021-08-07T00:00:00.000+9
4,53,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-08-14,13:20,16:40,,,10,6,1,0,0,0,7/14～8/01_西南生涯学習センター(60歳)/2021-08-14,2021-08-14T13:20:00.000+9,2021-08-14T16:40:00.000+9,2021-08-14T00:00:00.000+9,2021-08-14T00:00:00.000+9
4,54,7/14～8/01_西南生涯学習センター(60歳),TRUE,2021-08-21,13:20,16:40,,,10,3,1,0,0,0,7/14～8/01_西南生涯学習センター(60歳)/2021-08-21,2021-08-21T13:20:00.000+9,2021-08-21T16:40:00.000+9,2021-08-21T00:00:00.000+9,2021-08-21T00:00:00.000+9
5,55,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-02,13:20,14:40,14:10,14:20,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-02,2021-06-02T13:20:00.000+9,2021-06-02T14:40:00.000+9,2021-06-02T14:10:00.000+9,2021-06-02T14:20:00.000+9
5,56,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-03,13:20,14:40,14:10,14:20,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-03,2021-06-03T13:20:00.000+9,2021-06-03T14:40:00.000+9,2021-06-03T14:10:00.000+9,2021-06-03T14:20:00.000+9
5,57,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-09,13:20,14:40,14:10,14:20,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T14:40:00.000+9,2021-06-09T14:10:00.000+9,2021-06-09T14:20:00.000+9
5,58,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-10,13:20,14:40,14:10,14:20,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-10,2021-06-10T13:20:00.000+9,2021-06-10T14:40:00.000+9,2021-06-10T14:10:00.000+9,2021-06-10T14:20:00.000+9
