周,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
6,1,8/25～9/12_総合保健福祉センター,TRUE,2021-08-25,13:20,14:20,,,10,6,1,120,3,3,8/25～9/12_総合保健福祉センター/2021-08-25,2021-08-25T13:20:00.000+9,2021-08-25T14:20:00.000+9,2021-08-25T00:00:00.000+9,2021-08-25T00:00:00.000+9
6,2,8/25～9/12_総合保健福祉センター,TRUE,2021-08-26,13:20,14:20,,,10,6,1,120,3,3,8/25～9/12_総合保健福祉センター/2021-08-26,2021-08-26T13:20:00.000+9,2021-08-26T14:20:00.000+9,2021-08-26T00:00:00.000+9,2021-08-26T00:00:00.000+9
6,3,8/25～9/12_総合保健福祉センター,TRUE,2021-09-01,13:20,14:20,,,10,6,1,120,3,3,8/25～9/12_総合保健福祉センター/2021-09-01,2021-09-01T13:20:00.000+9,2021-09-01T14:20:00.000+9,2021-09-01T00:00:00.000+9,2021-09-01T00:00:00.000+9
6,4,8/25～9/12_総合保健福祉センター,TRUE,2021-09-02,13:20,14:20,,,10,6,1,120,3,3,8/25～9/12_総合保健福祉センター/2021-09-02,2021-09-02T13:20:00.000+9,2021-09-02T14:20:00.000+9,2021-09-02T00:00:00.000+9,2021-09-02T00:00:00.000+9
6,5,8/25～9/12_総合保健福祉センター,TRUE,2021-09-08,13:20,14:20,,,10,6,1,120,3,3,8/25～9/12_総合保健福祉センター/2021-09-08,2021-09-08T13:20:00.000+9,2021-09-08T14:20:00.000+9,2021-09-08T00:00:00.000+9,2021-09-08T00:00:00.000+9
6,6,8/25～9/12_総合保健福祉センター,TRUE,2021-09-09,13:20,14:20,,,10,6,1,120,3,3,8/25～9/12_総合保健福祉センター/2021-09-09,2021-09-09T13:20:00.000+9,2021-09-09T14:20:00.000+9,2021-09-09T00:00:00.000+9,2021-09-09T00:00:00.000+9
6,7,8/25～9/12_総合保健福祉センター,TRUE,2021-09-15,13:20,14:20,,,10,6,1,0,0,0,8/25～9/12_総合保健福祉センター/2021-09-15,2021-09-15T13:20:00.000+9,2021-09-15T14:20:00.000+9,2021-09-15T00:00:00.000+9,2021-09-15T00:00:00.000+9
6,8,8/25～9/12_総合保健福祉センター,TRUE,2021-09-16,13:20,14:20,,,10,6,1,0,0,0,8/25～9/12_総合保健福祉センター/2021-09-16,2021-09-16T13:20:00.000+9,2021-09-16T14:20:00.000+9,2021-09-16T00:00:00.000+9,2021-09-16T00:00:00.000+9
6,9,8/25～9/12_総合保健福祉センター,TRUE,2021-09-22,13:20,14:20,,,10,6,1,0,0,0,8/25～9/12_総合保健福祉センター/2021-09-22,2021-09-22T13:20:00.000+9,2021-09-22T14:20:00.000+9,2021-09-22T00:00:00.000+9,2021-09-22T00:00:00.000+9
6,10,8/25～9/12_総合保健福祉センター,TRUE,2021-09-23,13:20,14:20,,,10,6,1,0,0,0,8/25～9/12_総合保健福祉センター/2021-09-23,2021-09-23T13:20:00.000+9,2021-09-23T14:20:00.000+9,2021-09-23T00:00:00.000+9,2021-09-23T00:00:00.000+9
6,11,8/25～9/12_総合保健福祉センター,TRUE,2021-09-29,13:20,14:20,,,10,6,1,0,0,0,8/25～9/12_総合保健福祉センター/2021-09-29,2021-09-29T13:20:00.000+9,2021-09-29T14:20:00.000+9,2021-09-29T00:00:00.000+9,2021-09-29T00:00:00.000+9
