周,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
2,1,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-02,13:20,14:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-02,2021-06-02T13:20:00.000+9,2021-06-02T14:40:00.000+9,2021-06-02T00:00:00.000+9,2021-06-02T00:00:00.000+9
2,2,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-03,13:20,14:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-03,2021-06-03T13:20:00.000+9,2021-06-03T14:40:00.000+9,2021-06-03T00:00:00.000+9,2021-06-03T00:00:00.000+9
2,3,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-09,13:20,14:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T14:40:00.000+9,2021-06-09T00:00:00.000+9,2021-06-09T00:00:00.000+9
2,4,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-10,13:20,14:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-10,2021-06-10T13:20:00.000+9,2021-06-10T14:40:00.000+9,2021-06-10T00:00:00.000+9,2021-06-10T00:00:00.000+9
2,5,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-16,13:20,14:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T14:40:00.000+9,2021-06-16T00:00:00.000+9,2021-06-16T00:00:00.000+9
2,6,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-17,13:20,14:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-17,2021-06-17T13:20:00.000+9,2021-06-17T14:40:00.000+9,2021-06-17T00:00:00.000+9,2021-06-17T00:00:00.000+9
2,7,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-23,13:20,14:40,,,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T14:40:00.000+9,2021-06-23T00:00:00.000+9,2021-06-23T00:00:00.000+9
2,8,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-24,13:20,14:40,,,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-24,2021-06-24T13:20:00.000+9,2021-06-24T14:40:00.000+9,2021-06-24T00:00:00.000+9,2021-06-24T00:00:00.000+9
2,9,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-06-30,13:20,14:40,,,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター(65歳以上)/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T14:40:00.000+9,2021-06-30T00:00:00.000+9,2021-06-30T00:00:00.000+9
2,10,6/02～6/20_総合保健福祉センター(65歳以上),TRUE,2021-07-01,13:20,14:40,,,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター(65歳以上)/2021-07-01,2021-07-01T13:20:00.000+9,2021-07-01T14:40:00.000+9,2021-07-01T00:00:00.000+9,2021-07-01T00:00:00.000+9
